uri,wuri,tag,uri,diff,tot,miss,ratio,Person,Organisation,Company,SportsTeam,EducationalInstitution,PoliticalParty,Work,Document,MusicalWork,Film,Event,SocietalEvent,Activity,Place,PopulatedPlace,Country,ArchitecturalStructure,NaturalPlace,NaturalEvent,on,in,at,since,for,ago,before,to,past,from,till,until,by,year,sec,p_count,uri
http://dbpedia.org/ontology/notableIdea,,1,notableIdea,151,449,24,0.336302895,34,86,19,0,1,0,63,0,1,0,0,0,0,6,10,7,2,0,0,34,74,8,0,44,0,0,56,2,21,0,0,29,54,24,473,notableIdea
http://dbpedia.org/ontology/significantBuilding,,1,significantBuilding,311,918,24,0.338779956,13,29,9,0,16,0,4,0,0,0,1,1,0,711,192,20,558,2,0,23,79,33,1,37,0,2,38,1,7,0,0,29,136,18,951,significantBuilding
http://dbpedia.org/ontology/associatedBand,,1,associatedBand,609,1789,201,0.340413639,678,660,9,0,0,1,38,0,32,3,1,0,0,2,0,1,0,0,0,106,116,55,5,82,0,8,95,1,34,0,1,65,244,80,1001,associatedBand
http://dbpedia.org/ontology/associatedMusicalArtist,,1,associatedMusicalArtist,609,1789,201,0.340413639,678,660,9,0,0,1,38,0,32,3,1,0,0,2,0,1,0,0,0,106,116,55,5,82,0,8,95,1,34,0,1,65,244,80,1001,associatedMusicalArtist
http://dbpedia.org/ontology/training,,1,training,668,1958,41,0.341164454,204,478,12,0,479,0,0,0,0,0,0,0,0,0,1,0,7,0,0,3,12,19,0,6,0,0,8,0,4,0,0,4,32,3,1001,training
http://dbpedia.org/ontology/prospectTeam,,1,prospectTeam,91,259,214,0.351351351,0,242,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,4,0,0,0,0,1,4,2,477,prospectTeam
http://dbpedia.org/ontology/occupation,,1,occupation,548,1541,187,0.355613238,417,101,37,1,11,2,22,19,4,1,0,0,3,21,12,8,3,0,0,28,72,28,0,29,0,4,52,0,8,0,1,27,210,26,1001,occupation
http://dbpedia.org/ontology/instrument,,1,instrument,615,1709,283,0.359859567,176,97,99,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,53,80,36,3,50,0,2,71,0,22,0,0,33,154,44,1001,instrument
http://dbpedia.org/ontology/club,,1,club,735,1898,85,0.387249737,35,336,10,510,7,0,0,0,0,0,0,0,0,0,4,0,5,0,0,6,12,16,1,13,0,1,9,1,4,0,0,4,50,11,1001,club
http://dbpedia.org/ontology/coachedTeam,,1,coachedTeam,18,44,14,0.409090909,3,26,0,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,58,coachedTeam
http://dbpedia.org/ontology/ethnicity,,1,ethnicity,749,1770,230,0.423163842,16,6,0,0,0,0,1,0,0,0,3,0,0,40,106,46,0,0,0,19,72,12,1,23,0,1,33,0,17,0,2,17,103,31,1001,ethnicity
http://dbpedia.org/ontology/managerClub,,1,managerClub,850,1952,28,0.43545082,5,928,2,921,27,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,34,14,2,18,0,1,35,1,7,0,1,11,90,38,1001,managerClub
http://dbpedia.org/ontology/race,,1,race,493,674,24,0.731454006,6,0,0,0,0,0,0,0,0,0,661,661,1,24,4,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,1,700,race
http://dbpedia.org/ontology/veneratedIn,,1,veneratedIn,1581,1928,72,0.820020747,6,114,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,24,1,0,4,0,2,24,1,5,0,2,6,17,12,1001,veneratedIn
http://dbpedia.org/ontology/selection,,1,selection,506,524,20,0.965648855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579,selection
http://dbpedia.org/ontology/portrayer,,,portrayer,158,1900,100,0.083157895,975,2,1,0,0,0,42,0,1,121,0,0,0,1,0,0,0,0,0,4,16,2,1,1,0,1,10,0,3,0,0,12,17,9,1001,portrayer
http://dbpedia.org/ontology/lieutenant,,,lieutenant,120,1351,48,0.088823094,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,lieutenant
http://dbpedia.org/ontology/whaDraftTeam,,,whaDraftTeam,29,321,4,0.090342679,0,312,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,0,3,0,1,2,0,0,0,0,7,20,4,345,whaDraftTeam
http://dbpedia.org/ontology/vicePrimeMinister,,,vicePrimeMinister,1,11,0,0.090909091,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,vicePrimeMinister
http://dbpedia.org/ontology/canonizedBy,,,canonizedBy,53,545,34,0.097247706,450,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,1,1,580,canonizedBy
http://dbpedia.org/ontology/formerHighschool,,,formerHighschool,1,10,1,0.1,0,7,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,formerHighschool
http://dbpedia.org/ontology/series,,,series,178,1748,104,0.101830664,68,8,8,80,0,0,710,0,1,57,0,0,0,0,0,0,0,0,0,41,77,38,3,38,1,13,64,6,47,1,3,44,49,52,1001,series
http://dbpedia.org/ontology/associate,,,associate,115,1072,79,0.107276119,910,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,4,0,1,0,0,8,0,1,0,0,3,6,7,1001,associate
http://dbpedia.org/ontology/governor,,,governor,208,1931,67,0.107716209,940,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,5,1,0,3,0,0,5,0,2,0,0,3,14,2,1001,governor
http://dbpedia.org/ontology/beatifiedBy,,,beatifiedBy,69,638,38,0.10815047,578,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,1,2,2,676,beatifiedBy
http://dbpedia.org/ontology/significantDesign,,,significantDesign,6,55,2,0.109090909,2,8,1,0,3,0,0,0,1,0,0,0,0,23,8,1,13,0,0,0,2,2,0,3,0,0,1,0,0,0,0,2,5,2,57,significantDesign
http://dbpedia.org/ontology/incumbent,,,incumbent,9,82,17,0.109756098,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,incumbent
http://dbpedia.org/ontology/school,,,school,211,1903,97,0.110877562,13,743,0,25,738,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,0,2,0,0,1,0,0,0,0,0,7,2,1001,school
http://dbpedia.org/ontology/runningMate,,,runningMate,1,9,3,0.111111111,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,runningMate
http://dbpedia.org/ontology/field,,,field,219,1958,43,0.111848825,84,214,95,0,0,0,217,0,0,0,0,0,0,9,3,2,0,0,0,121,303,127,0,197,0,4,194,5,53,0,4,93,565,121,1001,field
http://dbpedia.org/ontology/deputy,,,deputy,137,1214,68,0.112850082,896,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,13,2,0,3,0,0,11,0,3,0,0,4,12,3,1001,deputy
http://dbpedia.org/ontology/currentMember,,,currentMember,150,1226,768,0.122349103,620,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009,currentMember
http://dbpedia.org/ontology/bodyDiscovered,,,bodyDiscovered,13,104,7,0.125,11,0,0,0,0,0,1,0,1,0,0,0,0,91,85,17,5,4,0,19,31,14,0,13,0,3,21,0,6,0,0,12,49,9,112,bodyDiscovered
http://dbpedia.org/ontology/royalAnthem,,,royalAnthem,2,16,2,0.125,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,royalAnthem
http://dbpedia.org/ontology/militaryBranch,,,militaryBranch,229,1805,188,0.126869806,12,900,5,0,0,1,0,0,0,0,0,0,0,3,9,15,0,0,0,6,23,8,0,10,0,2,16,0,6,0,0,11,28,11,1001,militaryBranch
http://dbpedia.org/ontology/child,,,child,239,1851,137,0.129119395,875,4,1,0,0,0,3,0,0,7,0,0,0,0,1,0,0,0,0,4,8,2,0,2,0,1,6,0,0,0,0,3,4,2,1001,child
http://dbpedia.org/ontology/region,,,region,212,1637,102,0.129505192,5,39,0,0,0,0,0,0,0,0,5,5,0,608,608,36,0,0,0,165,334,141,4,217,0,31,314,5,137,1,8,147,426,173,1001,region
http://dbpedia.org/ontology/highschool,,,highschool,248,1807,181,0.137244051,13,812,0,3,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,2,0,1001,highschool
http://dbpedia.org/ontology/vicePresident,,,vicePresident,82,594,43,0.138047138,508,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,1,0,0,6,0,1,0,0,5,12,3,637,vicePresident
http://dbpedia.org/ontology/trainer,,,trainer,271,1903,94,0.142406726,868,22,103,2,0,0,26,0,0,0,0,0,0,0,0,0,1,0,0,19,19,10,0,12,0,3,17,0,5,0,1,9,38,15,1001,trainer
http://dbpedia.org/ontology/winsAtChampionships,,,winsAtChampionships,1,7,0,0.142857143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,winsAtChampionships
http://dbpedia.org/ontology/prospectLeague,,,prospectLeague,74,489,230,0.151329243,0,470,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,4,0,0,1,1,1,0,0,4,12,6,725,prospectLeague
http://dbpedia.org/ontology/president,,,president,291,1918,82,0.151720542,960,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,32,7,0,15,0,0,29,0,11,0,0,23,74,22,1001,president
http://dbpedia.org/ontology/relation,,,relation,286,1863,131,0.153515835,891,3,7,0,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,2,5,0,0,2,0,0,3,0,2,0,0,3,10,7,1001,relation
http://dbpedia.org/ontology/raceHorse,,,raceHorse,101,652,22,0.154907975,277,2,5,0,0,0,9,0,7,2,0,0,0,8,4,0,3,0,0,9,42,9,0,21,0,1,12,0,1,0,1,11,119,36,674,raceHorse
http://dbpedia.org/ontology/academicAdvisor,,,academicAdvisor,125,764,16,0.163612565,655,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,15,0,6,0,0,14,0,4,0,0,4,32,10,781,academicAdvisor
http://dbpedia.org/ontology/primeMinister,,,primeMinister,327,1947,53,0.167950693,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,49,10,2,28,0,1,36,1,13,0,3,22,101,37,1001,primeMinister
http://dbpedia.org/ontology/notableWork,,,notableWork,321,1908,53,0.168238994,50,5,1,3,2,1,666,0,12,63,0,0,3,10,5,0,2,0,0,16,36,11,0,32,0,2,24,1,12,0,0,18,74,32,1001,notableWork
http://dbpedia.org/ontology/otherParty,,,otherParty,312,1834,151,0.170119956,39,795,0,0,0,880,0,0,0,0,1,0,0,0,0,0,0,0,0,2,14,1,0,6,0,0,6,0,5,0,0,2,38,8,1001,otherParty
http://dbpedia.org/ontology/location,,,location,40,231,14,0.173160173,6,3,0,0,0,0,0,0,0,0,0,0,0,173,139,86,35,1,0,8,46,16,0,10,0,2,29,2,8,0,0,14,70,13,245,location
http://dbpedia.org/ontology/stateOfOrigin,,0,stateOfOrigin,297,1693,307,0.175428234,300,1,0,0,0,1,0,0,0,0,1,0,0,599,645,595,0,0,0,44,127,44,0,78,0,8,74,3,26,0,3,50,275,50,1001,stateOfOrigin
http://dbpedia.org/ontology/restingPlace,,0,restingPlace,330,1871,129,0.176376269,22,7,1,0,0,1,0,0,0,0,0,0,0,764,518,111,187,5,0,60,162,74,1,59,0,12,108,1,52,0,2,58,207,68,1001,restingPlace
http://dbpedia.org/ontology/militaryRank,,,militaryRank,329,1850,83,0.177837838,142,4,0,0,0,0,0,0,33,0,1,1,0,2,2,2,0,0,0,6,49,19,0,11,0,2,37,0,5,0,1,10,102,20,1001,militaryRank
http://dbpedia.org/ontology/draftTeam,,,draftTeam,342,1883,24,0.181625066,1,798,0,807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,75,6,1,38,0,5,28,0,6,0,0,65,150,62,1001,draftTeam
http://dbpedia.org/ontology/species,,,species,85,467,41,0.182012848,24,4,3,0,0,0,8,0,0,2,0,0,0,2,0,6,0,0,0,47,124,31,2,36,0,10,89,1,38,0,2,54,84,61,535,species
http://dbpedia.org/ontology/opponent,,,opponent,24,131,22,0.183206107,105,10,5,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8,1,0,1,0,0,6,0,1,0,1,0,4,3,153,opponent
http://dbpedia.org/ontology/militaryUnit,,,militaryUnit,171,926,96,0.184665227,27,748,5,3,0,1,2,0,0,0,3,3,0,6,0,1,0,0,0,15,25,17,0,13,0,6,24,0,8,0,1,8,35,16,1001,militaryUnit
http://dbpedia.org/ontology/predecessor,,,predecessor,367,1926,75,0.190550363,966,4,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,11,0,18,0,2,30,0,9,0,0,24,52,21,1001,predecessor
http://dbpedia.org/ontology/hometown,,,hometown,338,1726,275,0.195828505,99,2,0,0,0,0,4,0,3,1,0,0,0,914,914,306,0,0,0,69,166,105,1,81,0,9,113,1,35,0,2,63,325,83,1001,hometown
http://dbpedia.org/ontology/monarch,,,monarch,387,1935,65,0.2,836,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,8,2,1,1,0,1,4,0,3,0,0,4,15,2,1001,monarch
http://dbpedia.org/ontology/almaMater,,,almaMater,395,1914,87,0.206374086,2,929,6,0,926,0,0,0,0,0,0,0,0,0,5,0,3,0,0,8,18,16,0,7,0,4,18,0,8,0,1,5,55,10,1001,almaMater
http://dbpedia.org/ontology/university,,,university,331,1597,29,0.207263619,16,787,1,10,776,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,9,3,0,6,0,0,6,0,1,0,0,1,13,7,1001,university
http://dbpedia.org/ontology/coach,,,coach,235,1132,120,0.207597173,737,3,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,12,0,1001,coach
http://dbpedia.org/ontology/nationality,,,nationality,364,1716,281,0.212121212,239,6,0,0,0,1,0,0,0,0,2,2,0,599,638,588,0,0,0,56,172,61,3,114,0,10,143,0,44,0,4,71,298,102,1001,nationality
http://dbpedia.org/ontology/institution,,,institution,253,1189,29,0.212783852,13,872,33,0,575,0,1,0,0,0,0,0,0,2,1,1,3,0,0,15,29,29,0,18,0,2,18,1,9,0,1,6,78,14,1001,institution
http://dbpedia.org/ontology/majorShrine,,,majorShrine,188,873,24,0.21534937,79,6,0,0,2,0,0,0,0,0,0,0,0,692,621,218,146,3,0,75,246,93,2,70,0,8,203,0,52,1,3,76,222,79,897,majorShrine
http://dbpedia.org/ontology/successor,,,successor,417,1931,65,0.215950285,956,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,8,17,5,1,9,0,0,25,0,7,0,0,18,35,8,1001,successor
http://dbpedia.org/ontology/significantProject,,,significantProject,145,671,14,0.21609538,24,91,47,0,28,0,11,0,13,1,1,1,0,333,139,32,177,18,0,32,60,24,1,41,0,2,42,0,11,0,0,14,113,24,711,significantProject
http://dbpedia.org/ontology/notableStudent,,,notableStudent,123,563,15,0.218472469,509,8,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,10,11,0,5,0,1,7,0,3,0,0,4,14,5,579,notableStudent
http://dbpedia.org/ontology/profession,,,profession,391,1783,217,0.219293326,713,26,10,0,2,0,1,0,2,0,0,0,3,1,0,0,1,0,0,5,48,19,1,14,0,2,45,1,13,0,0,14,174,16,1001,profession
http://dbpedia.org/ontology/formerChoreographer,,,formerChoreographer,131,591,14,0.221658206,535,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,4,3,0,1,0,0,1,0,0,0,0,0,14,0,605,formerChoreographer
http://dbpedia.org/ontology/lastAppearance,,,lastAppearance,264,1169,124,0.225834046,19,2,0,0,0,0,737,0,9,159,0,0,0,0,0,0,0,0,0,11,21,9,2,7,0,2,14,0,8,0,0,8,20,17,1001,lastAppearance
http://dbpedia.org/ontology/formerCoach,,,formerCoach,268,1185,33,0.226160338,881,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,4,3,0,4,0,0,3,0,0,0,0,0,21,0,1001,formerCoach
http://dbpedia.org/ontology/parent,,,parent,433,1899,89,0.228014745,909,0,3,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,5,34,6,1,8,0,2,23,0,9,0,0,15,36,30,1001,parent
http://dbpedia.org/ontology/canonizedPlace,,,canonizedPlace,60,263,13,0.228136882,13,0,0,0,0,0,0,0,0,0,0,0,0,252,246,171,12,0,0,7,27,15,0,9,0,2,26,0,4,0,0,8,50,8,276,canonizedPlace
http://dbpedia.org/ontology/deathCause,,,deathCause,429,1880,111,0.228191489,6,2,1,0,0,0,0,0,0,0,3,3,0,3,3,2,1,0,0,40,41,50,0,9,0,9,29,0,14,0,1,17,186,5,1001,deathCause
http://dbpedia.org/ontology/choreographer,,,choreographer,144,588,69,0.244897959,454,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,658,choreographer
eternal,,,temporal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
